Year,Nominal GDP,PSND,PSNB,Debt Interest,Debt-to-GDP Ratio (%),Primary Balance,Primary Balance-to-GDP Ratio (%),debt_ratio,pb_ratio,debt_ratio_lagged,g,r,Primary Balance Effect,Snowball Effect,Debt Ratio Change,Stock-Flow Adjustment
2008,1593.6,567200.0,47125.0,34895.0,35.592369477911646,12230.0,0.7674447791164659,0.35592369477911645,0.007674447791164659,,,,-0.7674447791164659,,,
2009,1548.8,787200.0,119372.0,24431.0,50.82644628099174,94941.0,6.129971590909091,0.5082644628099174,0.06129971590909091,0.35592369477911645,-0.028112449799196804,0.04307299012693935,-6.129971590909091,2.606946121261908,15.234076803080098,18.757102272727284
2010,1608.6,1027900.0,159906.0,39324.0,63.90028596294915,120582.0,7.496083550913838,0.6390028596294914,0.07496083550913837,0.5082644628099174,0.03861053719008267,0.04995426829268293,-7.496083550913838,0.5551277585457494,13.0738396819574,20.01479547432549
2011,1662.6,1168700.0,141786.0,45004.0,70.29351617947792,96782.0,5.821123541441116,0.7029351617947792,0.05821123541441116,0.6390028596294914,0.0335695635956732,0.043782469111781304,-5.821123541441116,0.6314113785641476,6.393230216528778,11.582942379405745
2012,1713.7,1261200.0,121290.0,37969.0,73.59514500787769,83321.0,4.862052868063255,0.7359514500787769,0.04862052868063255,0.7029351617947792,0.030734993383856768,0.032488234790793186,-4.862052868063255,0.1195666238131873,3.301628828399772,8.04411507264984
2013,1781.4,1366200.0,123911.0,38472.0,76.69248905355339,85439.0,4.7961715504659255,0.7669248905355339,0.047961715504659254,0.7359514500787769,0.03950516426445705,0.03050428163653663,-4.7961715504659255,-0.6372467256277776,3.0973440456756984,8.5307623217694
2014,1862.5,1461100.0,102465.0,37588.0,78.44832214765101,64877.0,3.4833288590604026,0.7844832214765102,0.03483328859060403,0.7669248905355339,0.04552599079375774,0.027512809251939687,-3.4833288590604026,-1.3213212683184874,1.7558330940976252,6.560483221476515
2015,1916.5,1552900.0,96867.0,33041.0,81.02791547091051,63826.0,3.330341768849465,0.8102791547091052,0.03330341768849465,0.7844832214765102,0.028993288590604127,0.022613784135240574,-3.330341768849465,-0.4863602379197333,2.579593323259499,6.396295330028698
2016,1991.6,1599700.0,81516.0,35659.0,80.32235388632256,45857.0,2.302520586463145,0.8032235388632256,0.02302520586463145,0.8102791547091052,0.03918601617531947,0.022962843711765085,-2.302520586463145,-1.2649610623947385,-0.7055615845879548,2.8619200642699285
2017,2082.5,1718000.0,54804.0,42487.0,82.4969987995198,12317.0,0.5914525810324129,0.824969987995198,0.005914525810324129,0.8032235388632256,0.045641695119502,0.02655935487903982,-0.5914525810324129,-1.4658352788795848,2.1746449131972434,4.231932773109241
